dispell	무효화
assume equipment	장비 가정
assume likeness	유사성 가정
uncarnate bridge	무체의 다리
uncarnate	무체
pyrokineticist	열염동력자
fire lash	화염 채찍
fire adaptation	화염 적응
hand afire	불타는 손
bolt of fire	불의 화살
weapon afire	불타는 무기
nimbus	비구름
firewalk	불걸음
fear no fire	화염 무쌍
heat death	죽음 발열
conflagration	대화재
thrallherd	세뇌속박술사
psionic charm	사이오닉 매혹
psionic dominate	사이오닉 지배
greater dominate	상급 지배
superior dominate	최상급 지배
twofold master	두 우리 주인
war mind	전쟁 정신
chain of personal superiority	일인 우월의 사슬
chain of defensive posture	방어 자세의 사슬
enduring body	감내하는 육체
sweeping strike	쓸어내기 공격
chain of overwhelming force	압도적인 힘의 사슬
psionic skills	사이오닉 스킬
psicraft	사이크래프트
use psionic device	사이오닉 장치 사용하기
metapsionic	메타사이오닉
aligned attack	성향 공격
antipsionic magic	대사이오닉 마법
autonomous	자율능력
body fuel	바이오 연료
boost construct	구조물 가속화
burrowing power	파고드는 권능
chain power	사슬의 권능
chaotic mind	혼돈의 정신
cloak dance	망토의 춤
closed mind	정신 폐쇄
combat manifestation	전투 구현
craft cognizance crystal	인식의 결정 제작
craft dorje	도졔 제작
craft psicrown	사이크라운 제작
craft psionic arms and armor	사이오닉 무기와 갑옷 제작
craft psionic construct	사이오닉 구조물 제작
craft universal item	우주적 아이템 제작
deadly precision	치명적인 정밀함
deep impact	거대 충돌
delay power	파워 지연
empower power	파워 강화
enlarge power	파워 범위 연장
expanded knowledge	지식의 확장
extend power	파워 시간 연장
fell shot	타락한 사격
focused sunder	초점지목 무기 파괴
force of will	의지의 힘
ghost attack	유령 공격
hostile mind	적대적인 마음
imprint stone	파워스톤 새기기
inquisitor	이단심문관
maximize power	파워 최대화
mental leap	정신 도약
mental resistance	정신 저항
metamorphic transfer	변태 전환
mind over body	육체에 깃든 정신
narrow mind	속좁은 마음
open minded	열린 마음
opportunity power	파워 가능성
overchannel	오버채널
power penetration	파워 공격
power specialization	파워 전문화
psicrystal affinity	정신결정 친화력
psicrystal containment	정신결정 봉쇄
psionic affinity	사이오닉 친화력
psionic body	사이오닉 육체
psionic charge	사이오닉 돌격
psionic dodge	사이오닉 회피
psionic endowment	사이오닉 자질
psionic hole	사이오닉 구멍
psionic meditation	사이오닉 명상
psionic shot	사이오닉 사격
psionic talent	사이오닉 재능
psionic weapon	사이오닉 무기
quicken power	빠른 파워
rapid metabolism	재빠른 대사작용
reckless offense	무모한 공격
return shot	사격 반사
scribe tattoo	문신 새기기
sidestep charge	회피 돌격
speed of thought	생각의 속도
split psionic ray	사이오닉 광선 나누기
stand still	부동 기립
talented	재능있음
twin power	쌍둥이 파워
unavoidable strike	피할수 없는 타격
unconditional power	무조건적 파워
up the walls	벽 오르기
widen power	파워 범위 연장
wild talent	거친 재능
wounding attack	상처 공격
adapt body	신체 적응
affinity field	친화의 장
anchored navigation	닻 내린 항해
apopsi	어팝시
assimilate	동화
astral caravan	영적 마차
astral construct	영적 구조물
astral seed	영적 씨앗
astral traveler	영적 여행자
attraction	끌림
aura alteration	오라 변경
aura sight	오라 시야
aversion	혐오
baleful teleport	해로운 순간이동
bend reality	현실 왜곡
bestow power	파워 부여
biofeedback	생체 피드백
bite of the wolf	늑대의 이빨
body adjustment	신체 보정
body equilibrium	신체 평형
body purification	신체 정화
brain lock	두뇌 잠금
breath of the black dragon	검은 드래곤의 숨결
burst	폭발
call to mind	정신 호출
call weaponry	무기 호출
catapsi	캐텁시
catfall	닻줄
chameleon	카멜레온
clairtangent hand	초감각적 손
clairvoyant sense	투시 감각
claw of energy	에너지 발톱
claws of the beast	야수의 발톱
claws of the vampire	뱀파이어의 발톱
cloud mind	구름 정신
compression	압축
conceal thoughts	생각 감추기
concealing amorpha	무정형체 감추기
concussion blast	뇌진탕 폭파
control air	바람 조종
control body	신체 조종
control flames	화염 조종
control light	빛 조종
control object	물체 조종
control sound	소리 조종
co-opt concentration	공동 집중
correspond	일치
create sound	소리 생성
crisis of breath	위기의 숨결
crisis of life	위기의 생명
crystal shard	유리결정 조각
crystallize	유리결정화
danger sense	위험 감각
death urge	죽음 재촉
deceleration	감속
decerebrate	뇌활동정지
déjà vu	데자뷰
demoralize	사기저하
destiny dissonance	운명 부조화
detect hostile intent	호전적 의도 탐지
detect psionics	사이오닉 탐지
detect remote viewing	원격 시선 탐지
detect teleportation	순간이동 탐지
dimension slide	차원 슬라이딩
dimension swap	차원 교환
disable	행동불능화
dismiss ectoplasm	심령체 강제퇴거
dispel psionics	사이오닉 무효화
dispelling buffer	무효화 방패
dissipating touch	소멸의 손길
dissolving touch	용해의 손길
dissolving weapon	용해의 무기
distract	주의산만
divert teleport	순간이동 우회
dominate	지배
dream travel	꿈 여행
duodimensional claw	이중차원 발톱
ecto protection	심령으로부터 보호
ectoplasmic cocoon	심령 고치
ectoplasmic form	심령 형태
ectoplasmic shambler	심령 휘청거리는 자
ego whip	자아 채찍
elfsight	엘프 시야
empathic feedback	공감적 피드백
empathic transfer	공감적 전환
empathic transfer, hostile	공감적 전환, 적의
empathy	교감
empty mind	텅빈 정신
energy adaptation	에너지 적응
energy adaptation, specified	에너지 적응, 명시
energy ball	에너지 구
energy bolt	에너지 화살
energy burst	에너지 폭발
energy cone	에너지 원뿔
energy conversion	에너지 전환
energy current	에너지 흐름
energy missile	에너지 유도화살
energy push	에너지 밀치기
energy ray	에너지 광선
energy retort	에너지 반박
energy stun	에너지 기절
energy wall	에너지 벽
energy wave	에너지 파도
entangling ectoplasm	심령 휘감기
eradicate invisibility	투명상태 근절
escape detection	탈출 탐지
evade burst	폭발 회피
exhalation of the black dragon	검은 드래곤의 날숨
expansion	확대
false sensory input	거짓 감각 입력
far hand	먼 손길
fate link	운명 연결
fate of one	하나의 운명
feat leech	특기 거머리
fiery discorporation	불 속 탈출
fission	분열
float	부유
force screen	힘의 가림막
form of doom	파멸의 형상
fuse flesh	살덩이 융합
fusion	융합
genesis	창세
graft weapon	무기 이식
grip of iron	강철 손아귀
hail of crystals	환호하는 유리결정
hammer	망치
hustle	빠른 걸음
hypercognition	초인지
id insinuation	이드 암시
immovability	요지부동
incarnate	현신
inertial armor	관성 갑옷
inertial barrier	관성 장벽
inflict pain	고통 가하기
intellect fortress	지성 요새
know direction and location	방향과 장소 알아내기
leech field	거머리 장
matter agitation	물질 교반
matter manipulation	물질 가공
mental barrier	정신 장벽
mental disruption	정신 분열
metaconcert	메타콘서트
metafaculty	메타패컬티
metamorphosis	변태
metaphysical claw	메타피지컬 발톱
metaphysical weapon	메타피지컬 무기
microcosm	소우주
mind blank, personal	정신 공백, 개별
mind probe	정신 조사
mind seed	정신 씨앗
mind switch	정신 개폐
mind switch, true	정신 개폐, 진성
mind thrust	정신 추진
mind trap	정신 함정
mindlink	정신연결
mindlink, thieving	정신연결, 훔치기
mindwipe	정신세탁
missive	명령서
my light	나의 빛
null psionics field	무의 사이오닉 장
oak body	떡갈나무 육체
object reading	물체 읽기
painful strike	고통스런 타격
personality parasite	성격 기생충
power leech	파워 거머리
precognition	예지
precognition, defensive	예지, 방어적
precognition, offensive	예지, 공격적
prescience, offensive	선견, 공격적
prevenom	선독
prevenom weapon	선독 무기
prowess	기량
psionic blast	사이오닉 폭발
psionic lion’s charge	사이오닉 사자의 발톱
psionic lock	사이오닉 자물쇠
psionic repair damage	사이오닉 피해수리
psionic revivify	사이오닉 환원
psionic scent	사이오닉 향기
psychic chirurgery	초자연적 외과의술
psychic crush	초자연적 크러쉬
psychic reformation	초자연적 개혁
psychic vampire	초자연 뱀파이어
psychofeedback	사이코피드백
quintessence	정수
read thoughts	생각 읽기
reality revision	현실 수정
recall agony	고뇌 회상
recall death	죽음 회상
reddopsi	레돕시
remote view trap	원격 보기 함정
remote viewing	원격 보기
restore extremity	극한 복원
retrieve	물체 염동
schism	분립
second chance	두번째 기회
sense link	감각 연결
sense link, forced	감각 연결, 강제
sensitivity to psychic impressions	초자연적 노출에 대한 감각
shadow body	그림자 신체
share pain	고통 공유
share pain, forced	고통 공유, 강제
shatter mind blank	분쇄 정신 공백
skate	스케이트
solicit psicrystal	정신결정 간청
steadfast perception	견고한 인지능력
stomp	짓밟기
strength of my enemy	상대방의 근력
suspend life	생명 연장
sustenance	생활 유지
swarm of crystals	유리결정 무리
synesthete	공감각
telekinetic force	염력의 힘
telekinetic maneuver	염력 조작
telekinetic thrust	염력 밀치기
telempathic projection	텔렘패식 투사
teleport trigger	순간이동 트리거
temporal acceleration	임시 가속
thicken skin	피부 강화
thought shield	생각 방패
time hop	시간 도약
time regression	시간 회귀
tornado blast	토네이도 폭파
touchsight	촉각시야
tower of iron will	강철 의지의 탑
trace teleport	순간이동 추적
true creation	진정한 제작
true metabolism	진정한 대사작용
truevenom	진성독
truevenom weapon	진성독 무기
ubiquitous vision	편재 시야
ultrablast	초대형폭파
vampiric blade	뱀파이어 칼날
vigor	활력
wall of ectoplasm	심령의 벽
wall walker	벽 걷는이
weapon of energy	에너지 무기
psi-like	유사사이오닉
psionic versions	사이오닉 버전
menu	메뉴
blue	파랑이
brain mole	뇌 두더지
caller in darkness	암흑의 소환사
cerebrilith	뇌석상
crysmal	크리스말
dromite	드로마이트
elan	엘란
folugub	폴루굽
gray glutton	회색 글루톤
half-giant	하프자이언트
intellect devourer	지성 포식귀
maenad	매나드
neothelid	니오실리드
phrenic creature	정신계 생명체
phthisic	사이식
psicrystal	정신결정
psion-killer	사이온 암살자
puppeteer	꼭두각시
flesh harrower	살덩이 약탈자
temporal filcher	시간의 좀도둑
thought eater	생각 포식자
thought slayer	생각 학살자
udoroot	우도룻
unbodied	무육체
xeph	제프
aporter	순간이동기
averter	회피기
ectoplasmic	외형질
floating	부유함
gleaming	빛남
heartening	격려함
landing	착지함
linked	연결됨
mindarmor	정신방어구
phasing	위상능력
quickness	빠름
radiant	복사성
time buttress	시간 버티기
vanishing	감춤
mentally audible	정신청각적
bodyfeeder	육체공급기
coup de grace	쿠 더 그라스
dislocator	순간전이
dissipater	방탕아
great dislocator	상급 순간전이
lucky	행운
mindcrusher	정신파쇄기
mindfeeder	정신공급기
parrying	받아치기
power storing	파워 보관
psibane	정신파멸
psychic	초자연적
psychokinetic	염동력
psychokinetic burst	염동력 폭발
soulbreaker	영혼파괴자
sundering	무기파괴
suppression	제압
teleporting	순간이동
cognizance crystal	인식의 결정
dorje	도졔
power stone	파워스톤
psicrown	사이크라운
psionic tattoo	사이오닉 문신
universal item	우주적 아이템
amulet of catapsi	캐텁시 아뮬렛
boots of landing	착지의 장화
boots of skating	얼음타기 장화
boots of stomping	짓밟기 장화
boots of temporal acceleration	임시가속의 장화
crawling tattoos	기어다니는 문신
crystal anchor	유리 닻
body crystal anchor	육체 유리 닻
comprehension crystal anchor	이해력의 유리 닻
creation crystal anchor	제작의 유리 닻
energy crystal anchor	에너지 유리 닻
ghost crystal anchor	유령 유리 닻
mind crystal anchor	정신 유리 닻
travel crystal anchor	여행 유리 닻
crystal mask	유리 가면
crystal mask of detection	탐지의 유리 가면
crystal mask of discernment	안목의 유리 가면
crystal mask of dread	두려움의 유리 가면
crystal mask of insightful detection	통찰력 탐지 유리 가면
crystal mask of knowledge	지혜의 유리 가면
crystal mask of languages	언어의 유리 가면
crystal mask of mindarmor	정신갑옷 유리 가면
crystal mask of psionic craft	사이오닉 제작의 유리가면
eyes of expanded vision	확장된 시야의 눈
eyes of power leech	파워 거머리의 눈
eyes of power leech, vampiric	파워 거머리의 눈, 뱀파이어의
vampiric eyes of power leech	파워 거머리 뱀파이어의 눈
gloves of object reading	물체 읽기 장갑
gloves of titan’s grip	타이탄 손아귀 장갑
mirror of mind switch	정신 개폐의 거울
mirror of suggestion	제안의 거울
mirror of time hop	시간 도약의 거울
pearl, brain lock	진주, 두뇌 잠금
pearl, breath crisis	진주, 숨결 위기
pearl, mind seed	진주, 정신 씨앗
pearl, personality parasite	진주, 성격 기생충
psionatrix	사이온내트릭스
psionic restraint	사이오닉 굴레
psychoactive skins	정신활동성 피부
skin of the chameleon	카멜레온의 피부
skin of the claw	발톱의 피부
skin of the defender	방어의 피부
skin of fiery response	불길응답의 피부
skin of the hero	영웅의 피부
skin of iron	철의 피부
skin of nimbleness	민활함의 피부
skin of proteus	프로테우스의 피부
skin of the psion	사이온의 피부
skin of the spider	거미의 피부
skin of the troll	트롤의 피부
shards	유리 조각
third eyes	세번째 눈
aware	인지
conceal	은폐
concentrate	집중
powerthieve	파워 절도
torc of free will	자유 의지의 토크
torc of leech freedom	거머리 자유의 토크
torc of power preservation	파워 보존의 토크
reverse capacitor	역 수용기
sutra of tranquil thought	고요한 사색의 경전
annulus	아눌루스
psicrown of the crystal mind	유리결정 정신의 사이크라운
crystal, deep	유리결정, 심연
crystal, mundane	유리결정, 세속
mind domain	정신 계열
mind domain spells	정신 계열 주문
brain spider	뇌 거미
dweomer of transference	드웨머의 양도
glossolalia	방언
mental pinnacle	정신적 첨탑
probe thoughts	생각 조사
psychic turmoil	초자연적 혼란
epic	에픽
agent retriever	대리 회수꾼
cosmic descryer	범우주적 관찰자
divine emissary	신성 사절단
epic infiltrator	에픽 잠입자
guardian paramount	최고 수호 지도자
high proselytizer	고위 전도사
legendary dreadnought	전설의 무겁자
perfect wight	완벽 시귀
union sentinel	유니언 경계병
craft (alchemy)	제작 (연금술)
sleight of hand	날렵한 손재주
tumble	재주넘기
autohypnosis	자기최면
stabilize self	자기 정상화
miscellaneous	기타
divine feat	신성 특기
wild feat	야생 특기
armor skin	갑옷 피부
augmented alchemy	증강 연금술
automatic quicken spell	자동 빠른 주문
automatic silent spell	자동 주문 암송
automatic still spell	자동 부동 주문
bane of enemies	적의 파멸
blinding speed	실명의 속도
bonus domain	보너스 계열
bulwark of defense	방어의 보호자
chaotic rage	혼돈의 격노
colossal wild shape	초거대 야생 변신
combat archery	전투 궁술
craft epic magic arms and armor	에픽 마법 무기와 갑옷 제작
craft epic rod	에픽 마법봉 제작
craft epic staff	에픽 마법지팡이 제작
craft epic wondrous item	에픽 기타 아이템 제작
deafening song	귀청 터질 듯한 노래
death of enemies	적의 죽음
devastating critical	통렬한 치명타
dexterous fortitude	비상한 인내
dexterous will	비상한 의지
diminutive wild shape	아주 작은 야생 변신
dire charge	흉폭한 돌격
distant shot	원거리 사격
dragon wild shape	드래곤 야생 변신
efficient item creation	효율적인 아이템 제작
energy resistance	에너지 저항
enhance spell	주문 증폭
epic dodge	에픽 회피
epic endurance	에픽 지구력
epic expanded knowledge	에픽 지식의 확장
epic fortitude	에픽 인내
epic inspiration	에픽 고취
epic leadership	에픽 지도력
epic prowess	에픽 기량
epic psionic focus	에픽 사이오닉 초점
epic reflexes	에픽 반사신경
epic reputation	에픽 명성
epic skill focus	에픽 스킬 초점
epic speed	에픽 속도
epic spell focus	에픽 주문 초점
epic spell penetration	에픽 주문 관통
epic toughness	에픽 거칠음
epic weapon focus	에픽 무기 초점
epic weapon specialization	에픽 무기 전문화
epic will	에픽 의지
exceptional deflection	이례적인 굴절
extended life span	연장된 수명
familiar spell	패밀리어 주문
fine wild shape	훌륭한 야생 변신
forge epic ring	에픽 반지 제작
gargantuan wild shape	거대한 야생 변신
group inspiration	단체 고취
hindering song	방해의 노래
holy strike	성스러운 타격
ignore material components	재료 구성요소 무시
alignment-based casting	성향 기반 시전
arrow of death	죽음의 화살
aura of courage	용기의 오라
aura of despair	절망의 오라
death attack	즉사 공격
elemental wild shape	원소 야생 변신
favored enemy	호적
ki	기
ki strike	기 공격
manifestation	구현
metapsionics	메타사이오닉
sneak attack	은밀한 공격
spell capacity	주문 용량
incite rage	격노 자극
infinite deflection	무한 굴절
inspire excellence	탁월함 고취
instant reload	즉석 재장전
intensify spell	주문 심화
keen strike	예리한 타격
lasting inspiration	지속적 고취
legendary climber	전설의 등반가
legendary commander	전설의 지휘관
legendary leaper	전설의 도약자
legendary rider	전설의 기수
legendary tracker	전설의 추적자
legendary wrestler	전설의 레슬러
lingering damage	오래가는 피해
magical beast companion	마법 야수 동료
adjustment	보정
magical beast wild shape	마법 야수 야생 변신
master staff	마법지팡이 마스터
master wand	마법막대 마스터
mighty rage	힘센 격노
mobile defense	이동형 방어
multispell	다중주문
multiweapon rend	다중무기 가르기
music of the gods	신들의 노래
negative energy burst	음에너지 폭발
overwhelming critical	압도하는 치명타
penetrate damage reduction	관통 피해 감소
perfect health	완벽한 건강
perfect multiweapon fighting	완벽한 다중무기 공격
perfect two-weapon fighting	완벽한 쌍수 무기 전투술
permanent emanation	영구적 발산
planar turning	이세계 구마
plant wild shape	식물 야생 변신
polyglot	다국어
positive energy aura	양에너지 오라
power knowledge	파워 지식
psicrystal power	정신결정 파워
ranged inspiration	원거리 고취
rapid inspiration	재빠른 고취
reactive countersong	반응형 대응송
reflect arrows	화살 반사
righteous strike	정의의 타격
ruinous rage	감당 못할 격노
scribe epic scroll	에픽 두루마리 제작
self-concealment	자기은폐
shattering strike	분쇄 타격
sneak attack of opportunity	은밀한 기회 공격
spectral strike	유령의 타격
spell knowledge	주문 지식
spell opportunity	주문 기회
spell stowaway	무임 주문
spellcasting harrier	주문시전 몰이꾼
spontaneous domain access	즉흥 계열 접근
spontaneous spell	즉흥 주문
storm of throws	투척 폭풍
superior initiative	우월한 선제권
swarm of arrows	화살 무리
terrifying rage	끔찍한 격노
tenacious magic	집요 마법
thundering rage	우레 같은 격노
trap sense	함정 감각
two-weapon rend	쌍수 무기 가르기
accuracy	정확도
unholy strike	부정의 타격
vermin wild shape	해충 야생 변신
vorpal strike	보팔 타격
widen aura of courage	용기의 오라 범위 확장
widen aura of despair	절망의 오라 범위 확장
zone of animation	살아 움직임의 범위
epic spell development	에픽 주문 개발
epic spell terms	에픽 주문 용어
animus blast	애니무스 폭발
animus blizzard	애니무스 눈보라
contingent resurrection	부활 예약
ritual	의식
create living vault	살아 있는 금고 제작
crown of vermin	해충의 왕관
damnation	천벌
demise unseen	보이지 않는 죽음
dire winter	흉폭한 겨울
dragon knight	드래곤 기사
dragon strike	드래곤 타격
dreamscape	꿈의 영역
eclipse	일식월식
eidolon	허깨비
enslave	노예화
epic mage armor	에픽 마법사의 갑옷
epic repulsion	에픽 격퇴
epic spell reflection	에픽 주문 반사
eternal freedom	영원한 자유
hellball	지옥구
kinetic control	운동 조종
let go of me	날 놔줘
living lightning	살아있는 번개
lord of nightmares	밤마귀 군주
mass frog	광역 개구리
momento mori	모멘토 모리
mummy dust	미라 먼지
nailed to the sky	못 박힌 하늘
origin of species: achaierai	종의 기원: 아체라이
peripety	운명의 격변
pestilence	악성 역병
rain of fire	불꽃 비
raise island	섬 일으키기
ruin	파멸
safe time	안전 시간
soul dominion	영혼 지배
soul scry	영혼 염탐
spell worm	주문 벌레
summon behemoth	베헤모스 소환
superb dispelling	최상위 무효화
time duplicate	시간 중복
vengeful gaze of god	복수에 불타는 신의 시선
verdigris	청녹
verdigris tsunami	청녹 해일
developing epic spells	에픽 주문 개발하기
seed:afflict	씨앗: 상처 가하기
seed:animate	씨앗: 살아 움직이는 물체
seed:animate dead	씨앗: 살아 움직이는 시체
seed: armor	씨앗: 갑옷
seed: banish	씨앗: 추방
seed: compel	씨앗: 지배
seed: conceal	씨앗: 감추기
seed: conjure	씨앗: 창조
seed: contact	씨앗: 접촉
seed: delude	씨앗: 환영
seed: destroy	씨앗: 파괴
seed: dispel	씨앗: 무효화
seed: energy	씨앗: 에너지
seed: foresee	씨앗: 예견
seed: fortify	씨앗: 강화
seed: heal	씨앗: 치료
seed: life	씨앗: 생명
seed: reflect	씨앗: 반사
seed: reveal	씨앗: 폭로
seed: slay	씨앗: 학살
seed: summon	씨앗: 소환
seed: transform	씨앗: 변형
seed: transport	씨앗: 공간이동
seed: ward	씨앗: 수호물
epic psionic powers	에픽 사이오닉 파워
epic psionic seeds	에픽 사이오닉 씨앗
non-epic	비 에픽
experience point	경험치
acid warding	산 방호
cold warding	냉기 방호
exceptional arrow deflection	이례적인 화살 굴절
fire warding	화염 방호
infinite arrow deflection	무한의 화살 굴절
lightning warding	번개 방호
negating	무효화
sonic warding	음파 방호
armor of the abyssal horde	심연 군단의 갑옷
armor of the celestial battalion	천상 대대의 갑옷
bulwark of the great dragon	위대한 드래곤의 방어벽
dragonskin armor	드래곤가죽 갑옷
shapeshifter’s armor	변신자의 갑옷
warlord’s breastplate	전쟁군주의 가슴보호갑
acidic blast	산성 폭발
anarchic power	무질서적 권능
axiomatic power	공리적 권능
dread	공포유발
everdancing	영원의 춤
fiery blast	화염 폭발
holy power	성스러운 권능
icy blast	얼음 폭발
lightning blast	번개 폭발
mighty disruption	힘쎈 붕괴
sonic blast	음파 폭발
triple-throw	세배 투척
unerring accuracy	틀림 없는 정확도
unholy power	부정한 권능
backstabber	뒷치기꾼
chaosbringer	혼돈인도자
elven greatbow	엘프의 그레이트보우
everwhirling chain	에버훨링 사슬
finaldeath	영원한 안식
gripsoul	영혼드잡이
holy devastator	성스러운 약탈자
mace of ruin	파멸 철퇴
quarterstaff of alacrity	활발한 육척봉
souldrinker	영혼흡입기
stormbrand	폭풍낙인
unholy despoiler	부정한 강탈자
adamant law	아다만트 질서
chaotic fury	혼돈의 분노
energy immunity	에너지 면역
protection	보호
epic wizardry	에픽 마법사
ineffable evil	형언할 수 없는 악
ironskin	쇠피부
rapid healing	재빠른 치료
sequestering	격리함
universal energy immunity	범용 에너지 면역
universal energy resistance	범용 에너지 저항
virtuous good	고결한 선
weaponbreaking	무기파괴
epic psionics	에픽 사이오닉
besiegement	포위
epic absorption	에픽 흡수
epic cancellation	에픽 상쇄
epic might	에픽 권세
epic negation	에픽 무효화
epic rulership	에픽 통치권
epic spellcaster	에픽 주문시전자
epic splendor	에픽 영광
excellent magic	탁월한 마법
paradise	낙원
restless death	안식 없는 죽음
wyrm	웜
cosmos	범우주
domination	지배
fiery power	불의 권능
the hierophants	교황
mighty force	권세의 힘
nature’s fury	자연의 분노
planar might	이세계의 권세
prism	무지갯빛
rapid barrage	재빠른 탄막
amulet of epic natural armor	에픽 고유 갑옷의 아뮬렛
belt of epic strength	에픽 근력의 허리띠
boots of swiftness	날램 장화
bracers of epic armor	에픽 갑옷의 팔보호구
bracers of epic health	에픽 건강의 팔보호구
bracers of relentless might	끈질긴 권세의 팔보호구
cabinet of feasting	연회의 캐비넷
cloak of epic charisma	에픽 매력의 망토
cloak of epic resistance	에픽 저항의 망토
gate key	관문 열쇠
gloves of epic dexterity	에픽 민첩의 장갑
headband of epic intellect	에픽 지능의 머리띠
horseshoes of the peerless steed	호적수 없는 군마의 편자
mantle of epic spell resistance	에픽 주문 저항의 어깨덧옷
mantle of great stealth	위대한 은신의 어깨덧옷
periapt of epic wisdom	에픽 지혜의 호부
everfull purse	줄지 않는 지갑
libram of gainful conjuration	이득적 소환술의 고서
libram of ineffable damnation	형언할 수 없는 천벌의 고서
libram of silver magic	은 마법의 고서
manual of puissant skill at arms	권세의 무장 기술 고서
manual of stealthy pilfering	은밀한 좀도둑질 고서
rogue’s dice	도적의 주사위
axe of the dwarvish lords	드워프 군주의 도끼
codex of the infinite planes	무한 세계의 법전
cup and talisman of the demigod	반신의 성배
eye of the orc	오크의 눈
golem armor	골렘 갑옷
invulnerable coat	흠집내성 외투
iron gauntlet of war	전쟁 철 건틀릿
ring of nine facets	아홉면 반지
abomination	혐오체
building abominations	혐오체 만들기
anaxim	아낙심
atropal	아트로팔
chichimec	치치멕
dream larva	꿈 애벌래
hecatoncheires	헤카톤케이레스
infernal	지옥계
phaethon	파에톤
phane	페인
xixecal	지젝칼
behemoth	베헤모스
behemoth eagle	베헤모스 독수리
behemoth gorilla	베헤모스 고릴라
brachyurus	브라키우루스
colossus	거대조각상
stone colossus	암석 거대조각상
flesh colossus	살덩이 거대조각상
iron colossus	강철 거대조각상
demilich	데밀리치
creating soul gems	영혼석 만들기
devastation vermin	황폐 해충
devastation centipede	황폐 지네
devastation spider	황폐 거미
devastation scorpion	황폐 스코피온
devastation beetle	황폐 딱정벌레
force dragon	힘의 드래곤
prismatic dragon	무지갯빛 드래곤
elemental,primal	원소, 원시
primal air elemental	바람 원시 원소
primal earth elemental	대지 원시 원소
primal fire elemental	불의 원시 원소
primal water elemental	물의 원시 원소
genius loci	게니우스 로키
gibbering orb	횡설수설 구슬
gloom	음울귀
mithral golem	미스랄 골렘
adamantine golem	아다만틴 골렘
ha-naga	하 나가
hagunemnon (protean)	해구넴논 (프로테안)
hoary hunter	흰머리 사냥꾼
hoary steed	흰머리 군마
hunefer	후네퍼
lavawight	용암시귀
legendary animal	전설의 동물
legendary bear	전설의 곰
legendary tiger	전설의 호랑이
leshay	레샤이
living vault	살아있는 금고
mercane	머케인
mercane characters	머케인 캐릭터
mu spore	뮤 스포어
neh-thalggu (brain collector)	네 살구 (뇌 수집쟁이)
paragon creature	파라곤 생명체
creating a paragon creature	파라곤 생명체 만들기
prismasaurus	무지갯빛 공룡
pseudonatural troll	유사자연 트롤
ruin swarm	파멸 무리
shadow of the void	공허의 그림자
shape of fire	화염의 형상
sirrush	시러쉬
three-headed sirrush	머리셋 시러쉬
tayellah	테옐라
thorciasid	소시아시드
titan,elder	타이탄, 노령
treant,elder	나무정령, 노령
umbral blot (blackball)	그늘 얼룩 (검은 구)
uvuudaum	유뷰더움
vermiurge	해충마마
winterwight	겨울시귀
worm that walks	걷는 벌레
gathering of maggots	구더기 모으기
flux slime	흘러넘치는 슬라임
divine	신성
divine rank	신성 등급
divine characteristic	신성 특징
salient divine ability	특화 신성 능력
salient divine abilities	특화 신성 능력
ability name	능력 이름
alter form	형태 변경
alter reality	현실 변경
alter size	크기 변경
annihilating strike	섬멸 타격
area divine shield	광역 신성 방패
automatic metamagic	자동 메타마법
avatar	화신
banestrike	파멸격
battlesense	전투감각
call creatures	생명체 소환
clearsight	맑은 시야
control creatures	생명체 조종
craft artifact	유물 제작
create object	물체 생성
create greater object	최상급 물체 생성
divine air	신성 바람
divine archery	신성 궁술
divine armor	신성 갑옷
divine bard	신성 음유시인
divine battle	신성 전투
divine blast	신성 폭발
divine blessing	신성 축복
divine celerity	신성 기민함
divine creation	신성 제작
divine dodge	신성 회피
divine druid	신성 드루이드
divine earth	신성 대지
divine fast healing	신성 빠른 치료
divine fire	신성 불
divine glibness	신성 입심
divine inspiration	신성 고취
divine monk	신성 수도사
divine paladin	신성 성기사
divine radiance	신성 광휘
divine rage	신성 격노
divine ranger	신성 레인저
divine recall	신성 회상
divine rogue	신성 도적
divine shield	신성 방패
divine skill focus	신성 스킬 초점
divine sneak attack	신성 은밀한 공격
divine spell focus	신성 주문 초점
divine spellcasting	신성 주문시전
table: divine spellcasting	표: 신성 주문시전
divine splendor	신성 영광
divine storm	신성 폭풍
divine water	신성 물
divine weapon focus	신성 무기 초점
divine weapon	신성 무기
divine weapon specialization	신성 무기 전문화
energy storm	에너지 폭풍
extra domain	추가 계열
extra energy immunity	추가 에너지 면역
extra sense enhancement	추가 감각 강화
footsore	발병남
free move	자유 이동
frightful presence	끔찍한 존재
gift of life	생명의 선물
grow creature	생명체 성장
hand of death	죽음의 손길
increased damage reduction	피해 감소 증가
increased energy resistance	에너지 저항 증가
increased spell resistance	주문 저항 증가
indomitable strength	불굴의 힘
instant counterspell	즉석 주문 차단
instant move	즉석 이동
irresistible blows	저항할 수 없는 일격
irresistible performance	저항할 수 없는 공연
know death	죽음 알기
know secrets	비밀 알기
lay curse	저주 부과
lay quest	임무 부과
life and death	삶과 죽음
life drain	생명 흡수
mass divine blast	광역 신성 폭발
mass life and death	광역 삶과 죽음
master crafter	마스터 제작가
mind of the beast	야수의 심정
possess mortal	정신 소유
power of luck	행운의 권능
power of truth	진실의 권능
rejuvenation	회춘
see magic	마법 보기
shift form	형태 교대
